,Graph,x,y,approxOrder,actualDist,approxDist,approxRatio
0,0,4,4,4,39.81661604107833,46.821200923386314,1.1759211499812399
1,0,1,5,5,39.81661604107833,46.821200923386314,1.1759211499812399
2,0,-4,5,6,39.81661604107833,46.821200923386314,1.1759211499812399
3,0,-5,5,7,39.81661604107833,46.821200923386314,1.1759211499812399
4,0,-4,4,8,39.81661604107833,46.821200923386314,1.1759211499812399
5,0,-4,3,9,39.81661604107833,46.821200923386314,1.1759211499812399
6,0,-2,2,10,39.81661604107833,46.821200923386314,1.1759211499812399
7,0,0,3,2,39.81661604107833,46.821200923386314,1.1759211499812399
8,0,1,2,3,39.81661604107833,46.821200923386314,1.1759211499812399
9,0,0,-1,1,39.81661604107833,46.821200923386314,1.1759211499812399
10,0,-1,-1,0,39.81661604107833,46.821200923386314,1.1759211499812399
11,0,-2,-4,11,39.81661604107833,46.821200923386314,1.1759211499812399
12,0,0,-5,12,39.81661604107833,46.821200923386314,1.1759211499812399
13,0,1,-4,13,39.81661604107833,46.821200923386314,1.1759211499812399
14,0,2,-5,14,39.81661604107833,46.821200923386314,1.1759211499812399
15,0,3,-3,15,39.81661604107833,46.821200923386314,1.1759211499812399
16,0,5,0,16,39.81661604107833,46.821200923386314,1.1759211499812399
17,1,-1,-2,0,38.69269364891789,38.69269364891789,1.0
18,1,-2,-4,1,38.69269364891789,38.69269364891789,1.0
19,1,-4,-5,2,38.69269364891789,38.69269364891789,1.0
20,1,0,-5,3,38.69269364891789,38.69269364891789,1.0
21,1,1,-3,4,38.69269364891789,38.69269364891789,1.0
22,1,4,-3,5,38.69269364891789,38.69269364891789,1.0
23,1,4,0,6,38.69269364891789,38.69269364891789,1.0
24,1,5,0,7,38.69269364891789,38.69269364891789,1.0
25,1,5,3,8,38.69269364891789,38.69269364891789,1.0
26,1,3,2,9,38.69269364891789,38.69269364891789,1.0
27,1,0,4,10,38.69269364891789,38.69269364891789,1.0
28,1,0,4,11,38.69269364891789,38.69269364891789,1.0
29,1,-1,5,12,38.69269364891789,38.69269364891789,1.0
30,1,-2,5,13,38.69269364891789,38.69269364891789,1.0
31,1,-3,1,14,38.69269364891789,38.69269364891789,1.0
32,1,-2,1,15,38.69269364891789,38.69269364891789,1.0
33,1,0,-2,16,38.69269364891789,38.69269364891789,1.0
34,2,-4,2,0,40.65011846565917,40.65011846565917,1.0
35,2,-4,2,1,40.65011846565917,40.65011846565917,1.0
36,2,-5,3,2,40.65011846565917,40.65011846565917,1.0
37,2,-2,4,3,40.65011846565917,40.65011846565917,1.0
38,2,2,5,4,40.65011846565917,40.65011846565917,1.0
39,2,4,3,5,40.65011846565917,40.65011846565917,1.0
40,2,1,2,6,40.65011846565917,40.65011846565917,1.0
41,2,2,0,7,40.65011846565917,40.65011846565917,1.0
42,2,2,-2,8,40.65011846565917,40.65011846565917,1.0
43,2,5,-3,9,40.65011846565917,40.65011846565917,1.0
44,2,5,-4,10,40.65011846565917,40.65011846565917,1.0
45,2,3,-5,11,40.65011846565917,40.65011846565917,1.0
46,2,1,-5,12,40.65011846565917,40.65011846565917,1.0
47,2,-1,-3,13,40.65011846565917,40.65011846565917,1.0
48,2,-2,-3,14,40.65011846565917,40.65011846565917,1.0
49,2,-3,-4,15,40.65011846565917,40.65011846565917,1.0
50,2,-2,2,16,40.65011846565917,40.65011846565917,1.0
